68,63 823,26 353,06 217,66 216,60 821,00 160,98 863,55 509,23 378,66
360,73 158,75 972,65 880,97 678,66 665,12 502,98 697,36 369,11 86,56
896,68 880,63 198,57 392,96 999,92 693,17 592,69 208,61 159,68 198,16
803,65 166,05 900,65 236,58 703,73 193,31 171,29 725,58 51,16 736,68
762,61 129,03 681,15 666,78 332,53 561,02 506,38 370,17 953,08 727,69
791,82 669,15 1007,71 876,75 657,56 238,68 108,67 900,38 291,09 1010,00
909,72 885,67 159,00 331,66 759,68 676,63 858,18 1007,07 673,35 828,99
990,06 262,09 563,13 516,11 68,65 856,18 855,25 875,26 560,16 999,99
500,60 169,28 261,31 210,52 239,98 680,73 238,07 108,20 660,56 1018,06
766,97 822,96 332,20 268,73 59,71 361,09 131,51 138,15 697,11 650,05
